'3-4', 'Mon Nov 06 08.01.18 2017', 'IMD3', 'N5181A N9030A BAL0026 BAL006', 'Temp', 'Temp', 'INB: 0-VIN OUTB 0-VOP',,,,
Temp = 25,,,,,,,,,,
Test 0,,,,,,,,,,
Frequency:,100000000,250000000,500000000,1000000000,1500000000,2000000000,2500000000,3000000000,3500000000,4000000000
Supply Current:,0,0,0,0,0,0,0,0,0,0
Low left:,-94.526,-93.683,-92.584,-86.987,-81.653,-74.867,-71.27,-65.228,-62.208,-58.718
Low right:,-95.196,-93.168,-91.63,-86.54,-81.913,-75.411,-70.491,-65.942,-62.869,-58.294
High left:,-8.067,-7.98,-8.005,-7.987,-8.004,-8.002,-8.006,-7.975,-7.995,-8.014
High right:,-7.968,-7.988,-7.998,-7.997,-7.999,-8.005,-7.995,-7.996,-7.991,-8.033
Left dBc:,86.558,85.695,84.586,78.99,73.654,66.862,63.275,57.232,54.217,50.685
Right dBc:,87.129,85.188,83.625,78.553,73.909,67.409,62.485,57.967,54.874,50.28
Temp = 85,,,,,,,,,,
Test 0,,,,,,,,,,
Frequency:,100000000,250000000,500000000,1000000000,1500000000,2000000000,2500000000,3000000000,3500000000,4000000000
Supply Current:,0,0,0,0,0,0,0,0,0,0
Low left:,-93.224,-92.777,-91.303,-85.061,-79.593,-73.311,-68.832,-62.51,-59.107,-54.738
Low right:,-94.349,-91.537,-90.53,-84.657,-79.743,-73.787,-68.104,-63.318,-59.674,-54.389
High left:,-7.979,-8.039,-8.013,-7.982,-8.024,-7.999,-7.998,-7.973,-8.027,-8.011
High right:,-8.007,-8.05,-8.001,-7.976,-8.002,-7.986,-7.998,-7.972,-8.015,-8.072
Left dBc:,85.217,84.727,83.302,77.085,71.591,65.325,60.834,54.538,51.092,46.666
Right dBc:,86.37,83.498,82.517,76.675,71.719,65.788,60.106,55.345,51.647,46.378
Temp = -40,,,,,,,,,,
Test 0,,,,,,,,,,
Frequency:,100000000,250000000,500000000,1000000000,1500000000,2000000000,2500000000,3000000000,3500000000,4000000000
Supply Current:,0,0,0,0,0,0,0,0,0,0
Low left:,-94.608,-94.861,-93.741,-88.135,-82.907,-76.054,-72.019,-67.98,-64.326,-62.18
Low right:,-94.519,-92.928,-93.377,-87.425,-83.534,-76.802,-71.426,-68.594,-64.719,-61.785
High left:,-7.972,-7.975,-7.989,-7.976,-7.989,-7.979,-8.004,-7.997,-8,-7.983
High right:,-7.995,-8.005,-7.996,-7.996,-8.003,-8.003,-8,-7.993,-8.014,-8.06
Left dBc:,86.613,86.856,85.745,80.139,74.904,68.051,64.019,59.987,56.312,54.12
Right dBc:,86.547,84.953,85.388,79.449,75.545,68.823,63.422,60.597,56.719,53.802
Execution time (s) = 3360,,,,,,,,,,
